tx	gene_id	MCIC_FC_2024_111	MCIC_FD_2024_105	MCIC_FD_2024_204	MCIC_MD_2024_109	MCIC_MD_2024_113	MCIC_MD_2024_116
unassigned_transcript_11	L0F63_000566	8.825	8.563	8.639	8.739	8.731	8.941
unassigned_transcript_12	L0F63_000567	9.68	9.592	9.534	9.51	9.63	9.655
unassigned_transcript_13	L0F63_000568	9.68	9.592	9.534	9.51	9.63	9.655
gnl|WGS:JAKSZP|L0F63_000606-T1_mrna	L0F63_000606	52.977	52.815	54.243	53.024	51.967	51.555
gnl|WGS:JAKSZP|L0F63_000607-T1_mrna	L0F63_000607	2159.668	2158.478	2162.583	2159.096	2156.099	2152.527
unassigned_transcript_14	L0F63_000608	8.724	8.409	8.455	8.617	8.6	8.803
unassigned_transcript_15	L0F63_000632	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_000633-T1_mrna	L0F63_000633	1371.668	1370.478	1374.583	1371.096	1368.099	1364.527
gnl|WGS:JAKSZP|L0F63_000658-T1_mrna	L0F63_000658	1376.668	1375.478	1379.583	1376.096	1373.099	1369.527
unassigned_transcript_16	L0F63_000659	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_000690-T1_mrna	L0F63_000690	1815.668	1814.478	1818.583	1815.096	1812.099	1808.527
gnl|WGS:JAKSZP|L0F63_000713-T1_mrna	L0F63_000713	1379.668	1378.478	1382.583	1379.096	1376.099	1372.527
unassigned_transcript_17	L0F63_000732	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_000733-T1_mrna	L0F63_000733	3020.668	3019.478	3023.583	3020.096	3017.099	3013.527
unassigned_transcript_18	L0F63_000741	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_000742-T1_mrna	L0F63_000742	1679.668	1678.478	1682.583	1679.096	1676.099	1672.527
gnl|WGS:JAKSZP|L0F63_000788-T1_mrna	L0F63_000788	326.792	325.632	329.687	326.263	323.292	319.949
gnl|WGS:JAKSZP|L0F63_000789-T1_mrna	L0F63_000789	995.668	994.478	998.583	995.096	992.099	988.527
unassigned_transcript_19	L0F63_000790	8.724	8.409	8.455	8.617	8.6	8.803
unassigned_transcript_20	L0F63_000791	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_000792-T1_mrna	L0F63_000792	419.683	418.51	422.611	419.115	416.129	412.611
gnl|WGS:JAKSZP|L0F63_000809-T1_mrna	L0F63_000809	174.33	173.409	176.894	173.914	171.397	169.049
gnl|WGS:JAKSZP|L0F63_000810-T1_mrna	L0F63_000810	985.668	984.478	988.583	985.096	982.099	978.527
gnl|WGS:JAKSZP|L0F63_000811-T1_mrna	L0F63_000811	1409.668	1408.478	1412.583	1409.096	1406.099	1402.527
gnl|WGS:JAKSZP|L0F63_000832-T1_mrna	L0F63_000832	4337.668	4336.478	4340.583	4337.096	4334.099	4330.527
gnl|WGS:JAKSZP|L0F63_000852-T1_mrna	L0F63_000852	371.716	370.55	374.633	371.166	368.169	364.717
gnl|WGS:JAKSZP|L0F63_000853-T1_mrna	L0F63_000853	3503.668	3502.478	3506.583	3503.096	3500.099	3496.527
gnl|WGS:JAKSZP|L0F63_000874-T1_mrna	L0F63_000874	374.714	373.548	377.631	374.16	371.164	367.709
unassigned_transcript_21	L0F63_000911	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_22	L0F63_000932	8.313	7.904	8.117	8.291	8.147	8.492
gnl|WGS:JAKSZP|L0F63_000933-T1_mrna	L0F63_000933	689.669	688.478	692.585	689.096	686.099	682.527
unassigned_transcript_23	L0F63_000982	9.577	9.474	9.433	9.397	9.525	9.566
unassigned_transcript_24	L0F63_000983	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_25	L0F63_000995	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_001014-T1_mrna	L0F63_001014	614.669	613.48	617.589	614.096	611.103	607.528
gnl|WGS:JAKSZP|L0F63_001015-T1_mrna	L0F63_001015	128.721	128.026	131	128.521	126.253	124.632
gnl|WGS:JAKSZP|L0F63_001056-T1_mrna	L0F63_001056	677.669	676.478	680.585	677.096	674.101	670.527
gnl|WGS:JAKSZP|L0F63_001057-T1_mrna	L0F63_001057	896.668	895.478	899.583	896.096	893.099	889.527
gnl|WGS:JAKSZP|L0F63_001058-T1_mrna	L0F63_001058	1751.668	1750.478	1754.583	1751.096	1748.099	1744.527
gnl|WGS:JAKSZP|L0F63_001070-T1_mrna	L0F63_001070	112.689	112.116	114.821	112.593	110.483	109.1
gnl|WGS:JAKSZP|L0F63_001071-T1_mrna	L0F63_001071	231.57	230.495	234.355	231.066	228.287	225.394
gnl|WGS:JAKSZP|L0F63_001158-T1_mrna	L0F63_001158	4391.668	4390.478	4394.583	4391.096	4388.099	4384.527
gnl|WGS:JAKSZP|L0F63_001159-T1_mrna	L0F63_001159	1736.668	1735.478	1739.583	1736.096	1733.099	1729.527
gnl|WGS:JAKSZP|L0F63_001176-T1_mrna	L0F63_001176	126.928	126.232	129.176	126.724	124.476	122.879
gnl|WGS:JAKSZP|L0F63_001177-T1_mrna	L0F63_001177	898.668	897.478	901.583	898.096	895.099	891.527
gnl|WGS:JAKSZP|L0F63_001178-T1_mrna	L0F63_001178	1499.668	1498.478	1502.583	1499.096	1496.099	1492.527
unassigned_transcript_26	L0F63_001179	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_001190-T1_mrna	L0F63_001190	736.669	735.478	739.585	736.096	733.099	729.527
gnl|WGS:JAKSZP|L0F63_001205-T1_mrna	L0F63_001205	1044.668	1043.478	1047.583	1044.096	1041.099	1037.527
gnl|WGS:JAKSZP|L0F63_001227-T1_mrna	L0F63_001227	3908.668	3907.478	3911.583	3908.096	3905.099	3901.527
unassigned_transcript_27	L0F63_001228	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_001258-T1_mrna	L0F63_001258	1181.668	1180.478	1184.583	1181.096	1178.099	1174.527
gnl|WGS:JAKSZP|L0F63_001259-T1_mrna	L0F63_001259	173.376	172.458	175.94	172.963	170.456	168.112
unassigned_transcript_28	L0F63_001279	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_001303-T1_mrna	L0F63_001303	725.669	724.478	728.585	725.096	722.099	718.527
gnl|WGS:JAKSZP|L0F63_001325-T1_mrna	L0F63_001325	82.39	82.034	84.108	82.427	80.662	79.735
unassigned_transcript_29	L0F63_001354	8.899	8.691	8.807	8.856	8.874	9.059
unassigned_transcript_30	L0F63_001355	9.68	9.592	9.534	9.51	9.63	9.655
gnl|WGS:JAKSZP|L0F63_001370-T1_mrna	L0F63_001370	1115.668	1114.478	1118.583	1115.096	1112.099	1108.527
unassigned_transcript_31	L0F63_001415	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_001445-T1_mrna	L0F63_001445	327.788	326.629	330.684	327.26	324.289	320.942
gnl|WGS:JAKSZP|L0F63_001457-T1_mrna	L0F63_001457	626.669	625.48	629.586	626.096	623.102	619.528
unassigned_transcript_32	L0F63_001458	8.997	8.84	8.942	8.973	9.032	9.158
gnl|WGS:JAKSZP|L0F63_001474-T1_mrna	L0F63_001474	1346.668	1345.478	1349.583	1346.096	1343.099	1339.527
gnl|WGS:JAKSZP|L0F63_001492-T1_mrna	L0F63_001492	512.674	511.491	515.59	512.101	509.104	505.544
gnl|WGS:JAKSZP|L0F63_001493-T1_mrna	L0F63_001493	234.522	233.442	237.307	234.011	231.222	228.303
gnl|WGS:JAKSZP|L0F63_001494-T1_mrna	L0F63_001494	320.822	319.649	323.702	320.285	317.315	313.99
gnl|WGS:JAKSZP|L0F63_001518-T1_mrna	L0F63_001518	1634.668	1633.478	1637.583	1634.096	1631.099	1627.527
gnl|WGS:JAKSZP|L0F63_001519-T1_mrna	L0F63_001519	2072.668	2071.478	2075.583	2072.096	2069.099	2065.527
gnl|WGS:JAKSZP|L0F63_001611-T1_mrna	L0F63_001611	6002.668	6001.478	6005.583	6002.096	5999.099	5995.527
gnl|WGS:JAKSZP|L0F63_001612-T1_mrna	L0F63_001612	2210.668	2209.478	2213.583	2210.096	2207.099	2203.527
gnl|WGS:JAKSZP|L0F63_001631-T1_mrna	L0F63_001631	1289.668	1288.478	1292.583	1289.096	1286.099	1282.527
gnl|WGS:JAKSZP|L0F63_001632-T1_mrna	L0F63_001632	1970.668	1969.478	1973.583	1970.096	1967.099	1963.527
gnl|WGS:JAKSZP|L0F63_001672-T1_mrna	L0F63_001672	48.849	48.724	50.083	48.877	47.999	47.652
gnl|WGS:JAKSZP|L0F63_001673-T1_mrna	L0F63_001673	2513.668	2512.478	2516.583	2513.096	2510.099	2506.527
gnl|WGS:JAKSZP|L0F63_001743-T1_mrna	L0F63_001743	75.296	74.955	76.872	75.286	73.691	72.908
gnl|WGS:JAKSZP|L0F63_001744-T1_mrna	L0F63_001744	2348.668	2347.478	2351.583	2348.096	2345.099	2341.527
unassigned_transcript_33	L0F63_001777	8.724	8.409	8.455	8.617	8.6	8.803
gnl|WGS:JAKSZP|L0F63_001793-T1_mrna	L0F63_001793	35.51	35.366	36.396	35.353	35.076	34.972
gnl|WGS:JAKSZP|L0F63_001806-T1_mrna	L0F63_001806	372.715	371.549	375.633	372.164	369.167	365.714
unassigned_transcript_34	L0F63_001807	8.577	8.23	8.302	8.506	8.471	8.673
unassigned_transcript_35	L0F63_001808	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_36	L0F63_001827	8.997	8.84	8.942	8.973	9.032	9.158
gnl|WGS:JAKSZP|L0F63_001869-T1_mrna	L0F63_001869	2921.668	2920.478	2924.583	2921.096	2918.099	2914.527
gnl|WGS:JAKSZP|L0F63_001896-T1_mrna	L0F63_001896	875.668	874.478	878.583	875.096	872.099	868.527
unassigned_transcript_37	L0F63_001910	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_38	L0F63_001924	8.997	8.84	8.942	8.973	9.032	9.158
unassigned_transcript_39	L0F63_001925	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_001926-T1_mrna	L0F63_001926	1094.668	1093.478	1097.583	1094.096	1091.099	1087.527
unassigned_transcript_40	L0F63_001950	9.136	9.011	9.058	9.081	9.184	9.251
gnl|WGS:JAKSZP|L0F63_001966-T1_mrna	L0F63_001966	317.832	316.657	320.71	317.295	314.333	311.01
gnl|WGS:JAKSZP|L0F63_001995-T1_mrna	L0F63_001995	88.042	87.672	89.848	88.096	86.22	85.183
gnl|WGS:JAKSZP|L0F63_002011-T1_mrna	L0F63_002011	37.897	37.75	38.861	37.784	37.379	37.234
gnl|WGS:JAKSZP|L0F63_002024-T1_mrna	L0F63_002024	187.748	186.776	190.388	187.295	184.691	182.207
unassigned_transcript_41	L0F63_002037	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_42	L0F63_002038	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_002077-T1_mrna	L0F63_002077	998.668	997.478	1001.583	998.096	995.099	991.527
gnl|WGS:JAKSZP|L0F63_002078-T1_mrna	L0F63_002078	92.157	91.769	94.027	92.187	90.286	89.208
unassigned_transcript_43	L0F63_002103	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_44	L0F63_002119	8.899	8.691	8.807	8.856	8.874	9.059
gnl|WGS:JAKSZP|L0F63_002141-T1_mrna	L0F63_002141	112.689	112.116	114.821	112.593	110.483	109.1
gnl|WGS:JAKSZP|L0F63_002156-T1_mrna	L0F63_002156	860.668	859.478	863.583	860.096	857.099	853.527
unassigned_transcript_45	L0F63_002189	8.899	8.691	8.807	8.856	8.874	9.059
gnl|WGS:JAKSZP|L0F63_002202-T1_mrna	L0F63_002202	1574.668	1573.478	1577.583	1574.096	1571.099	1567.527
unassigned_transcript_46	L0F63_002219	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_002220-T1_mrna	L0F63_002220	1100.668	1099.478	1103.583	1100.096	1097.099	1093.527
gnl|WGS:JAKSZP|L0F63_002250-T1_mrna	L0F63_002250	1163.668	1162.478	1166.583	1163.096	1160.099	1156.527
gnl|WGS:JAKSZP|L0F63_002251-T1_mrna	L0F63_002251	443.678	442.5	446.598	443.11	440.118	436.584
unassigned_transcript_47	L0F63_002294	8.825	8.563	8.639	8.739	8.731	8.941
gnl|WGS:JAKSZP|L0F63_002332-T1_mrna	L0F63_002332	215.885	214.861	218.632	215.402	212.676	209.905
gnl|WGS:JAKSZP|L0F63_002372-T1_mrna	L0F63_002372	676.669	675.478	679.585	676.096	673.101	669.528
unassigned_transcript_48	L0F63_002399	8.899	8.691	8.807	8.856	8.874	9.059
gnl|WGS:JAKSZP|L0F63_002406-T1_mrna	L0F63_002406	1238.668	1237.478	1241.583	1238.096	1235.099	1231.527
unassigned_transcript_49	L0F63_002417	8.313	7.904	8.117	8.291	8.147	8.492
gnl|WGS:JAKSZP|L0F63_002441-T1_mrna	L0F63_002441	2030.668	2029.478	2033.583	2030.096	2027.099	2023.527
unassigned_transcript_50	L0F63_002442	8.313	7.904	8.117	8.291	8.147	8.492
gnl|WGS:JAKSZP|L0F63_002453-T1_mrna	L0F63_002453	1367.668	1366.478	1370.583	1367.096	1364.099	1360.527
gnl|WGS:JAKSZP|L0F63_002454-T1_mrna	L0F63_002454	1856.668	1855.478	1859.583	1856.096	1853.099	1849.527
gnl|WGS:JAKSZP|L0F63_002467-T1_mrna	L0F63_002467	500.675	499.491	503.59	500.102	497.107	493.549
gnl|WGS:JAKSZP|L0F63_002468-T1_mrna	L0F63_002468	971.668	970.478	974.583	971.096	968.099	964.527
unassigned_transcript_51	L0F63_002480	8.577	8.23	8.302	8.506	8.471	8.673
unassigned_transcript_52	L0F63_002500	8.724	8.409	8.455	8.617	8.6	8.803
unassigned_transcript_53	L0F63_002514	9.68	9.592	9.534	9.51	9.63	9.655
unassigned_transcript_54	L0F63_002560	8.577	8.23	8.302	8.506	8.471	8.673
unassigned_transcript_55	L0F63_002572	8.825	8.563	8.639	8.739	8.731	8.941
gnl|WGS:JAKSZP|L0F63_002573-T1_mrna	L0F63_002573	1295.668	1294.478	1298.583	1295.096	1292.099	1288.527
gnl|WGS:JAKSZP|L0F63_002594-T1_mrna	L0F63_002594	299.905	298.731	302.774	299.374	296.42	293.181
gnl|WGS:JAKSZP|L0F63_002616-T1_mrna	L0F63_002616	1059.668	1058.478	1062.583	1059.096	1056.099	1052.527
gnl|WGS:JAKSZP|L0F63_002668-T1_mrna	L0F63_002668	2018.668	2017.478	2021.583	2018.096	2015.099	2011.527
gnl|WGS:JAKSZP|L0F63_002669-T1_mrna	L0F63_002669	2177.668	2176.478	2180.583	2177.096	2174.099	2170.527
unassigned_transcript_56	L0F63_002681	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_002693-T1_mrna	L0F63_002693	770.669	769.478	773.583	770.096	767.099	763.527
gnl|WGS:JAKSZP|L0F63_002704-T1_mrna	L0F63_002704	2140.668	2139.478	2143.583	2140.096	2137.099	2133.527
gnl|WGS:JAKSZP|L0F63_002705-T1_mrna	L0F63_002705	836.668	835.478	839.583	836.096	833.099	829.527
gnl|WGS:JAKSZP|L0F63_002755-T1_mrna	L0F63_002755	926.668	925.478	929.583	926.096	923.099	919.527
unassigned_transcript_57	L0F63_002802	8.899	8.691	8.807	8.856	8.874	9.059
gnl|WGS:JAKSZP|L0F63_002803-T1_mrna	L0F63_002803	2057.668	2056.478	2060.583	2057.096	2054.099	2050.527
gnl|WGS:JAKSZP|L0F63_002823-T1_mrna	L0F63_002823	770.669	769.478	773.583	770.096	767.099	763.527
gnl|WGS:JAKSZP|L0F63_002835-T1_mrna	L0F63_002835	1055.668	1054.478	1058.583	1055.096	1052.099	1048.527
gnl|WGS:JAKSZP|L0F63_002850-T1_mrna	L0F63_002850	905.668	904.478	908.583	905.096	902.099	898.527
unassigned_transcript_58	L0F63_002865	9.136	9.011	9.058	9.081	9.184	9.251
unassigned_transcript_59	L0F63_002876	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_002877-T1_mrna	L0F63_002877	2789.668	2788.478	2792.583	2789.096	2786.099	2782.527
gnl|WGS:JAKSZP|L0F63_002902-T1_mrna	L0F63_002902	2633.668	2632.478	2636.583	2633.096	2630.099	2626.527
unassigned_transcript_60	L0F63_002923	9.136	9.011	9.058	9.081	9.184	9.251
unassigned_transcript_61	L0F63_002924	9.577	9.474	9.433	9.397	9.525	9.566
gnl|WGS:JAKSZP|L0F63_002932-T1_mrna	L0F63_002932	839.668	838.478	842.583	839.096	836.099	832.527
gnl|WGS:JAKSZP|L0F63_002942-T1_mrna	L0F63_002942	1865.668	1864.478	1868.583	1865.096	1862.099	1858.527
unassigned_transcript_62	L0F63_002948	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_002949-T1_mrna	L0F63_002949	1808.668	1807.478	1811.583	1808.096	1805.099	1801.527
gnl|WGS:JAKSZP|L0F63_002950-T1_mrna	L0F63_002950	181.984	181.044	184.592	181.542	178.967	176.562
gnl|WGS:JAKSZP|L0F63_002951-T1_mrna	L0F63_002951	944.668	943.478	947.583	944.096	941.099	937.527
gnl|WGS:JAKSZP|L0F63_002952-T1_mrna	L0F63_002952	1133.668	1132.478	1136.583	1133.096	1130.099	1126.527
gnl|WGS:JAKSZP|L0F63_002953-T1_mrna	L0F63_002953	222.745	221.679	225.491	222.247	219.499	216.674
gnl|WGS:JAKSZP|L0F63_002954-T1_mrna	L0F63_002954	2699.668	2698.478	2702.583	2699.096	2696.099	2692.527
unassigned_transcript_63	L0F63_002975	8.222	7.716	8.055	8.108	7.949	8.389
gnl|WGS:JAKSZP|L0F63_002976-T1_mrna	L0F63_002976	566.67	565.485	569.589	566.096	563.103	559.532
gnl|WGS:JAKSZP|L0F63_002998-T1_mrna	L0F63_002998	662.669	661.478	665.585	662.096	659.101	655.528
gnl|WGS:JAKSZP|L0F63_003031-T1_mrna	L0F63_003031	1142.668	1141.478	1145.583	1142.096	1139.099	1135.527
gnl|WGS:JAKSZP|L0F63_003032-T1_mrna	L0F63_003032	57.26	57.056	58.588	57.28	56.129	55.608
gnl|WGS:JAKSZP|L0F63_003048-T1_mrna	L0F63_003048	760.669	759.478	763.583	760.096	757.099	753.527
gnl|WGS:JAKSZP|L0F63_003076-T1_mrna	L0F63_003076	410.687	409.518	413.613	410.12	407.137	403.622
unassigned_transcript_64	L0F63_003115	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_003116-T1_mrna	L0F63_003116	1139.668	1138.478	1142.583	1139.096	1136.099	1132.527
gnl|WGS:JAKSZP|L0F63_003143-T1_mrna	L0F63_003143	535.673	534.489	538.59	535.096	532.104	528.538
unassigned_transcript_65	L0F63_003158	8.899	8.691	8.807	8.856	8.874	9.059
gnl|WGS:JAKSZP|L0F63_003159-T1_mrna	L0F63_003159	1070.668	1069.478	1073.583	1070.096	1067.099	1063.527
gnl|WGS:JAKSZP|L0F63_003183-T1_mrna	L0F63_003183	74.516	74.177	76.078	74.5	72.924	72.16
unassigned_transcript_66	L0F63_003184	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_67	L0F63_003211	8.425	8.064	8.197	8.416	8.327	8.578
unassigned_transcript_68	L0F63_003219	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_003220-T1_mrna	L0F63_003220	3617.668	3616.478	3620.583	3617.096	3614.099	3610.527
gnl|WGS:JAKSZP|L0F63_003225-T1_mrna	L0F63_003225	5432.668	5431.478	5435.583	5432.096	5429.099	5425.527
unassigned_transcript_69	L0F63_003240	8.313	7.904	8.117	8.291	8.147	8.492
gnl|WGS:JAKSZP|L0F63_003254-T1_mrna	L0F63_003254	2615.668	2614.478	2618.583	2615.096	2612.099	2608.527
gnl|WGS:JAKSZP|L0F63_003255-T1_mrna	L0F63_003255	1103.668	1102.478	1106.583	1103.096	1100.099	1096.527
gnl|WGS:JAKSZP|L0F63_003265-T1_mrna	L0F63_003265	377.707	376.546	380.628	377.156	374.162	370.699
unassigned_transcript_70	L0F63_003277	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_003316-T1_mrna	L0F63_003316	689.669	688.478	692.585	689.096	686.099	682.527
unassigned_transcript_71	L0F63_003317	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_003324-T1_mrna	L0F63_003324	3020.668	3019.478	3023.583	3020.096	3017.099	3013.527
unassigned_transcript_72	L0F63_003335	8.899	8.691	8.807	8.856	8.874	9.059
gnl|WGS:JAKSZP|L0F63_003346-T1_mrna	L0F63_003346	184.86	183.901	187.49	184.42	181.821	179.388
unassigned_transcript_73	L0F63_003357	9.68	9.592	9.534	9.51	9.63	9.655
gnl|WGS:JAKSZP|L0F63_003410-T1_mrna	L0F63_003410	1753.668	1752.478	1756.583	1753.096	1750.099	1746.527
gnl|WGS:JAKSZP|L0F63_003436-T1_mrna	L0F63_003436	392.696	391.531	395.621	392.134	389.146	385.655
gnl|WGS:JAKSZP|L0F63_003456-T1_mrna	L0F63_003456	404.69	403.521	407.617	404.125	401.139	397.633
gnl|WGS:JAKSZP|L0F63_003473-T1_mrna	L0F63_003473	4943.668	4942.478	4946.583	4943.096	4940.099	4936.527
gnl|WGS:JAKSZP|L0F63_003502-T1_mrna	L0F63_003502	737.669	736.478	740.585	737.096	734.099	730.527
unassigned_transcript_74	L0F63_003515	8.577	8.23	8.302	8.506	8.471	8.673
gnl|WGS:JAKSZP|L0F63_003534-T1_mrna	L0F63_003534	2114.668	2113.478	2117.583	2114.096	2111.099	2107.527
gnl|WGS:JAKSZP|L0F63_003535-T1_mrna	L0F63_003535	1949.668	1948.478	1952.583	1949.096	1946.099	1942.527
unassigned_transcript_75	L0F63_003543	8.899	8.691	8.807	8.856	8.874	9.059
gnl|WGS:JAKSZP|L0F63_003567-T1_mrna	L0F63_003567	665.669	664.478	668.585	665.096	662.101	658.528
unassigned_transcript_76	L0F63_003579	8.577	8.23	8.302	8.506	8.471	8.673
unassigned_transcript_77	L0F63_003623	8.313	7.904	8.117	8.291	8.147	8.492
unassigned_transcript_78	L0F63_003678	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_003712-T1_mrna	L0F63_003712	408.687	407.519	411.614	408.122	405.137	401.625
gnl|WGS:JAKSZP|L0F63_003713-T1_mrna	L0F63_003713	373.715	372.549	376.632	373.162	370.166	366.712
gnl|WGS:JAKSZP|L0F63_003714-T1_mrna	L0F63_003714	1244.668	1243.478	1247.583	1244.096	1241.099	1237.527
unassigned_transcript_79	L0F63_003722	8.425	8.064	8.197	8.416	8.327	8.578
gnl|WGS:JAKSZP|L0F63_003723-T1_mrna	L0F63_003723	1958.668	1957.478	1961.583	1958.096	1955.099	1951.527
gnl|WGS:JAKSZP|L0F63_003731-T1_mrna	L0F63_003731	2606.668	2605.478	2609.583	2606.096	2603.099	2599.527
gnl|WGS:JAKSZP|L0F63_003738-T1_mrna	L0F63_003738	2459.668	2458.478	2462.583	2459.096	2456.099	2452.527
gnl|WGS:JAKSZP|L0F63_003754-T1_mrna	L0F63_003754	2999.668	2998.478	3002.583	2999.096	2996.099	2992.527
gnl|WGS:JAKSZP|L0F63_003755-T1_mrna	L0F63_003755	93.824	93.433	95.728	93.856	91.934	90.839
unassigned_transcript_80	L0F63_003770	8.825	8.563	8.639	8.739	8.731	8.941
unassigned_transcript_81	L0F63_003771	8.577	8.23	8.302	8.506	8.471	8.673
